shopify_id,product_shopify_id,sku,name,price,compare_at_price,stock_quantity,is_active,position,created_at,updated_at
52209706893649,10440036024657,VDDP-29-398,Default Title,4133.99,,10,true,1,2025-10-27T10:32:12-07:00,2025-10-27T10:51:16-07:00
52209707876689,10440036385105,VCYR-63-248,Default Title,2613.00,5999.00,10,true,1,2025-10-27T10:32:29-07:00,2025-10-27T10:51:16-07:00
52209708171601,10440036450641,PTMA-24-621,Default Title,3410.99,8755.00,10,true,1,2025-10-27T10:32:41-07:00,2025-10-27T10:51:16-07:00
52209709384017,10440036680017,CZZV-60-476,Default Title,899.99,,10,true,1,2025-10-27T10:32:58-07:00,2025-10-27T10:51:16-07:00
52209709973841,10440036745553,AGIC-72-138,Default Title,4859.99,17499.99,10,true,1,2025-10-27T10:33:09-07:00,2025-10-27T10:51:16-07:00
52209710137681,10440036811089,WPNQ-73-098,Default Title,2513.99,5399.00,10,true,1,2025-10-27T10:33:18-07:00,2025-10-27T10:51:16-07:00
52209710301521,10440036909393,EHNI-41-188,Default Title,4439.99,10299.99,10,true,1,2025-10-27T10:33:27-07:00,2025-10-27T10:51:16-07:00
52209711055185,10440037040465,SMOV-33-163,Default Title,2873.99,5955.00,10,true,1,2025-10-27T10:33:38-07:00,2025-10-27T10:51:16-07:00
52209711481169,10440037138769,QTWA-86-092,Default Title,875.40,2477.00,10,true,1,2025-10-27T10:33:48-07:00,2025-10-27T10:51:16-07:00
52209711808849,10440037237073,JGYR-16-886,Default Title,2152.80,4199.00,10,true,1,2025-10-27T10:33:59-07:00,2025-10-27T10:51:16-07:00
52209712202065,10440037400913,DNTW-05-693,Default Title,873.00,2255.00,10,true,1,2025-10-27T10:34:08-07:00,2025-10-27T10:51:16-07:00
52209712628049,10440037531985,ZRPO-05-628,Default Title,3785.54,,10,true,1,2025-10-27T10:34:18-07:00,2025-10-27T10:51:16-07:00
52209715216721,10440038023505,ZOYQ-89-927,Default Title,8699.40,,10,true,1,2025-10-27T10:35:03-07:00,2025-10-27T10:51:16-07:00
52209716953425,10440038252881,HJNE-72-304,Default Title,3416.93,6695.00,10,true,1,2025-10-27T10:35:15-07:00,2025-10-27T10:51:16-07:00
52209717215569,10440038383953,PDTN-87-881,Default Title,2039.40,,10,true,1,2025-10-27T10:35:24-07:00,2025-10-27T10:51:16-07:00
52209717641553,10440038515025,UXZC-28-443,Default Title,2995.80,5999.00,10,true,1,2025-10-27T10:35:37-07:00,2025-10-27T10:51:16-07:00
52209718264145,10440038580561,KRAI-17-115,Default Title,4139.99,,10,true,1,2025-10-27T10:35:51-07:00,2025-10-27T10:51:16-07:00
52209718690129,10440038678865,TLKS-03-032,Default Title,1009.73,4900.00,10,true,1,2025-10-27T10:36:02-07:00,2025-10-27T10:51:16-07:00
52209719083345,10440038744401,VTSL-44-582,Default Title,7799.40,,10,true,1,2025-10-27T10:36:10-07:00,2025-10-27T10:51:16-07:00
52209719476561,10440038875473,PWZI-10-132,Default Title,850.03,,10,true,1,2025-10-27T10:36:19-07:00,2025-10-27T10:51:16-07:00
52209720099153,10440039039313,UQIN-89-031,Default Title,6600.00,,10,true,1,2025-10-27T10:36:31-07:00,2025-10-27T10:51:16-07:00
